bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
VN30(VND) 40% + KIS 국채1Y 60%,VN30(VND) 40% + KIS 국채1Y 60%,KRW,Y,000,아시아,15.48,-1.87,1.74,3.52,211225231.0000,10,-0.71,13.79,16.38,21.30,12.13,0,0010198C3936,0,배당,KB베트남인덱스40자투자[채권혼합-파생]AE,,KB베트남인덱스40증권자투자신탁[채권혼합-파생형] A-E,KB베트남인덱스40증권자투자신탁[채권혼합-파생형] A-E,KR5127470073,1423321200119591126D,KRZ502336052,0002830,0,06,00040035,국내외혼합,해당없음,00,해당없음,공모,030230002830,판매중,K55223CN9466,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,1.25,-1.90,3.37,-0.37,5453685847.0000,10,-3.83,4.46,8.08,23.27,4.17,0,0010203C0919,0,배당,우리아티잰글로벌그로스자H(주-재)Pe2,,우리 아티잰글로벌그로스증권자투자신탁[주식_재간접형](H)_CLASS PE2,우리아티잰글로벌그로스증권자투자신탁[주식_재간접형](H)_ClassPe2,KR5138490115,161236120020211ZZZZC,KRZ50239167B,000Q014,0,재간접,00040007,해외,개인,00,해당없음,공모,03101000Q002,판매중,K55228CZ2306,Y,00020088,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,글로벌,18.84,0.88,7.79,10.01,166617459561.0000,10,0.68,17.57,24.87,37.00,,0,0010205C6648,0,배당,미래에셋연금동행TRF안정형(채혼재)C-P,,미래에셋연금동행TRF안정형증권투자신탁(채권혼합-재간접형) 종류C-P,미래에셋연금동행TRF안정형증권투자신탁(채권혼합-재간접형) 종류C-P,KR5153490707,16131A12036022111ZZ5,KRZ502524461,0536650,0,재간접,00080008,국내외혼합,해당없음,00,해당없음,공모,031910536650,판매중,K55301DW7661,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,-10.57,-11.41,,116662700312.0000,10,14.35,,,,,0,0010189C3972,0,배당,한화K방산조선원전증투신(주)CRPe,,HANWHA K-DEFENSE&SHIPBUILDING&NUCLEAR SECURITIES FEEDER FUND (EQUITY) C-RPE,한화 K방산조선원전증권 자투자신탁(주식) C-RPe(퇴직연금),KR5129450193,12113A12060011511262,KRZ50263799D,0007441,0,주식형,00040027,국내,해당없음,00,해당없음,공모,030220007441,판매중,K55213EM6307,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI Financials,MSCI ACWI Financials,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래IN GL뱅크Ci,,MIRAEASSET MAPS INDEXRO GLOBAL BANK FUND(EQUITY)(C-Ci),미래에셋맵스 인덱스로 글로벌뱅크 증권 자투자신탁(주식)(C-Ci),KR513502093M,00000000000000000000,KRZ500481202,481372,0,주식형,00080008,국내외혼합,법인,00,해당없음,공모,026700481370,판매완료,KR5225824808,,00020027,,,,False,2026-07-11,PRFD01N001
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,G3스페셜중기2,,G3스페셜중기2,G3스페셜중기2,KR5010201311,00000000000000000000,KRZ500022780,11363,0,채권형,00040011,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5205105624,,00020081,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,11.43,0.92,4.98,4.85,16931935483.0000,10,0.73,10.80,16.67,26.17,,0,0011997C1932,0,배당,BNK든든한적격TDF2035(혼재)혼재C-P2e,,BNK든든한적격TDF2035증권투자신탁(혼합-재간접형) Class C-P2e,BNK든든한적격TDF2035증권투자신탁(혼합-재간접형) Class C-P2e,KR5178490015,16121A120600211ZZZZC,KRZ50248901B,0010260,0,재간접,00080033,해외,해당없음,00,해당없음,공모,034730010260,판매중,K55240DO4308,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 10% +  KAP Bond Index 01Y 90%,KOSPI200 10% + 종합채권 01Y 90%,KRW,,000,국내,3.60,-0.13,0.27,0.75,6694187778.0000,10,0.26,2.06,5.54,10.52,15.80,0,0010175C4405,0,배당,우리뱅크플러스공모주10증권자2(채혼)C-P,,WOORI BANK PLUS 10 HYBRID BOND 2TH CLASS C-P,우리뱅크플러스공모주10증권자투자신탁2호(채권혼합)Class C-P,KR518104114M,14111412036012611ZZ5,KRZ501144757,9665,0,채권혼합,00040007,국내,해당없음,00,해당없음,공모,031010009563,판매중,K55107B08185,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,23.77,-0.46,8.63,9.14,5699908399.0000,10,1.33,19.59,31.62,45.60,23.74,0,0010186C5889,0,배당,신한 AI자산배분H[주혼-재]C-re,,SH AI ASSET ALLOCATION SECURITY INVESTMENT TRUST(H)[EQUITY BALANCED-FOFS](CLASS_C-RE),신한AI자산배분증권투자신탁(H)[주식혼합-재간접형](종류C-re),KR5117490105,161216120600221ZZZZC,KRZ50239514B,0256000,0,재간접,00040067,해외,해당없음,00,해당없음,공모,030480256000,판매중,K55210D07326,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA ex JAPAN,MSCI AC ASIA ex JAPAN,KRW,N,000,아시아,,,,,104572313799.0000,10,,,,,,0,000000000000,0,배당,미래에셋아시아그레이트컨슈머자1(주재)C2,,미래에셋아시아그레이트컨슈머증권자투자신탁1호(주식-재간접형)C2,미래에셋아시아그레이트컨슈머증권자투자신탁1호(주식-재간접형)C2,KR5153490033,00000000000000000000,KRZ501847864,0532630,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910532630,판매중,KR5301AL0680,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,219.65,1.39,48.79,96.85,475767686940.0000,10,9.01,161.66,180.05,204.99,162.36,0,0010660C3090,0,배당,한국투자네비게이터증권투자 1(주식)Ce,,한국투자네비게이터증권투자신탁 1(주식)(C-E),한국투자네비게이터증권투자신탁 1(주식)(C-e),KR5113450013,12111612365011311113,KRZ500202753,0004813,0,주식형,00040024,국내,해당없음,00,해당없음,공모,032280004813,판매중,KR5101753360,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI INDIA,MSCI INDIA,KRW,N,000,아시아,-12.47,3.07,2.71,-6.75,58738290934.0000,10,-2.73,-3.61,-2.63,37.11,71.52,0,0010205C0076,0,배당,미래에셋인디아디스커버리1호(주식)A,,미래에셋인디아디스커버리증권자투자신탁 1(주식)종류A,미래에셋인디아디스커버리증권자투자신탁 1(주식)종류A,KR5153651001,12121212001181101202,KRZ500182001,530301,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910530300,판매중,KR5301511071,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,4.36,2.12,-0.16,-1.85,17830297231.0000,10,-0.28,8.71,0.06,12.25,11.30,0,0011973C0434,0,배당,iM에셋월드헬스사이언스[주식-재간접]Cpe,,IM ASSET WORLD HEALTHSCIENCE-F(C-PE),iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(C-Pe),KR5181490206,1612161200102150118C,KRZ50198935G,061626,0,재간접,00080035,해외,개인,00,해당없음,공모,033750061610,판매중,K55366BT9633,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(USD HEDGED) 95% + CALL 5%,Bloomberg GLOBAL AGGREGATE(USD HEDGED) 95% + CALL 5%,USD,N,000,글로벌,,,,,145487.3100,10,,,,,,1,0010186C4877,0,배당,신한H20글로벌본드(USD)[채혼-파재]C1,,SH H2O GLOBAL BOND SECURITY INVESTMENT TRUST(USD)[BALANCED BOND-DERIVATIVES FOFS],신한H2O글로벌본드증권투자신탁(USD)[채권혼합-파생재간접형] 종류C1,KR5117490001,16221412001025925263,KRZ502276524,0254180,0,재간접,00040067,해외,해당없음,00,해당없음,공모,030480254180,판매완료,K55210CE5148,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,20.31,0.56,7.48,10.72,563747977540.0000,10,1.06,19.23,23.90,33.47,26.46,0,000000000000,0,배당,미래에셋평생소득TIF혼합자산자투자 C-P,,미래에셋평생소득TIF혼합자산자투자신탁 종류C-P,미래에셋평생소득TIF혼합자산자투자신탁 종류C-P,KR5153400016,00000000000000000000,KRZ502124123,0537410,0,혼합자산,00080008,국내외혼합,개인,00,해당없음,공모,031910537410,판매중,K55301BM7988,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,00,,,,,,0,000000000000,0,배당,G1프로장기22,,G1프로장기22,G1프로장기22,KR5010251142,00000000000000000000,KRZ500023430,11629,0,채권형,00040011,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5205106391,,00020081,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR(in KRW) 50% + 종합채권01Y 50%,MSCI ACWI CR(in KRW) 50% + 종합채권01Y 50%,KRW,N,000,글로벌,36.30,0.34,14.37,20.32,264694894216.0000,10,0.47,38.98,48.60,83.36,,0,0010660C7089,0,배당,한국투자적격TDF알아서2050UH(주혼재)(CRe),,한국투자적격TDF알아서2050증권자투자신탁UH(주식혼합-재간접형)(C-Re),한국투자적격TDF알아서2050증권자투자신탁UH(주식혼합-재간접형)(C-Re),KR5113490107,161236120600211ZZZZ2,KRZ50236398B,0005W41,0,재간접,00040024,해외,해당없음,00,해당없음,공모,032280005W41,판매중,K55101CU1800,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Rogers International Commodity TR 90%,Rogers International Commodity TR 90%,KRW,Y,000,글로벌,36.66,-10.47,-1.20,32.60,6753643088.0000,10,-1.16,35.42,30.56,42.25,,0,0010205C6200,0,배당,미래에셋로저스Commodity인덱스(일파)Ce,,미래에셋로저스Commodity인덱스특별자산자투자신탁(일반상품-파생형) 종류C-e,미래에셋로저스Commodity인덱스특별자산자투자신탁(일반상품-파생형) 종류C-e,KR5137470046,182236120690271ZZ26B,KRZ501262596,0480370,0,06,00080008,해외,해당없음,00,해당없음,공모,031910480370,판매중,K55301DG0765,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,Y,000,아시아,45.44,-1.72,8.14,13.42,34969336709.0000,10,-1.93,36.99,60.96,72.78,27.63,0,0010172C3828,0,배당,브이아이아시아넥스트인프라증투신1[주]A,,브이아이아시아넥스트인프라증권자투자신탁1호[주식]A,브이아이아시아넥스트인프라증권자투자신탁1호[주식]A,KR5116651001,12133212301041501183,KRZ500323301,AG003,0,주식형,00040018,국내외혼합,해당없음,00,해당없음,공모,0304200AG002,판매중,KR5104656321,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSDAQ150 x 150%,코스닥150 150%,KRW,N,000,국내,,,,,512502241.0000,10,,,,,,0,0010205C3901,0,배당,미래코스닥150레버리지1.5 1호(주-파재)C,,미래에셋코스닥150레버리지1.5증권투자신탁1호(주식-파생재간접형) 종류C,미래에셋코스닥150레버리지1.5증권투자신탁1호(주식-파생재간접형) 종류C,KR5153470003,16211412001015111261,KRZ502104191,0466530,0,06,00080008,국내,해당없음,00,해당없음,공모,031910466530,판매완료,K55301BJ5987,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,26.32,0.43,9.53,14.93,112334164103.0000,10,1.92,23.86,31.92,42.41,,0,0010205C6293,0,배당,미래에셋OCIO-DB표준증권자(채혼)C-P2,,미래에셋OCIO-DB표준형증권자투자신탁(채권혼합) 종류C-P2,미래에셋OCIO-DB표준형증권자투자신탁(채권혼합) 종류C-P2,KR5153430378,14133A120600231ZZZZ3,KRZ502466571,0308370,0,채권혼합,00080008,국내외혼합,해당없음,00,해당없음,공모,031910308370,판매중,K55301DI5283,Y,00020004,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,305.96,3.91,59.44,127.92,82293668153.0000,10,8.85,239.31,259.35,300.38,230.65,0,0010198C1840,0,배당,KB연금인덱스전환자(주식)C,,KB PRIVATE PENSION INDEX SECURITIES FEEDER FUND(EQUITY) CLASS C,KB연금인덱스증권전환형자투자신탁(주식)C클래스,KR5127450241,12113412036011111123,KRZ501762661,0003J17,0,주식형,00040035,국내,개인,00,해당없음,공모,030230003J17,판매중,KR5223AQ1746,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,231.59,-0.50,40.89,98.24,6484257463.0000,10,9.98,178.92,202.78,219.24,174.66,0,0010192C2922,0,배당,DB진주찾기증권자2호[주식]C4,,DB진주찾기증권자투자신탁제2호[주식]C4,DB진주찾기증권자투자신탁제2호[주식]C4,KR5131450014,12111412301011111ZZ3,KRZ501648705,0041701,0,주식형,00040006,국내,해당없음,00,해당없음,공모,030190041701,판매중,KR5216297923,Y,00020003,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
CALL,CALL,KRW,,000,국내,,,,,9983048.0000,10,,,,,,0,0010199C4242,0,배당,흥국네오신종MMF투자신탁B-2호C,,흥국네오신종MMF투자신탁B-2호C,흥국네오신종MMF투자신탁B-2호C,KR5039410020,1EE1141200101ZZZZZZ6,KRZ501554621,0003511,0,MMF,00040021,국내,법인,00,해당없음,공모,032560003511,판매완료,K55224BB4370,Y,00050004,,,,False,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,,000,국내,4.51,0.21,0.72,1.53,1261558710651.0000,10,0.03,2.75,6.44,,,0,0010198C6317,0,배당,KB내일드림초단기채증투신(채)A,,KB내일드림초단기채증권투자신탁(채권)A,KB내일드림초단기채증권투자신탁(채권)A,KR5127420110,11111212001013921ZZ5,KRZ502551341,0032D0,0,채권형,00040035,국내,해당없음,00,해당없음,공모,0302300032D0,판매중,K55223E28034,Y,00050004,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
채권종합 3M~1Y,종합채권 3개월~1년,KRW,N,000,국내,,,,,29632189837.0000,20,,,,,,0,0010186C9232,0,배당,신한만기투자형증권투신4호[채권]C-r,,SH MATURITY INVESTMENT TYPE SECURITY INVESTMENT TRUST NO.4[BOND](CLASS_C-R),신한만기투자형증권투자신탁제4호[채권](종류C-r),KR5117420078,11111A328600131ZZZZ5,KRZ502548727,0273730,0,채권형,00040067,국내,해당없음,00,해당없음,공모,030480273730,판매완료,K55210E04545,Y,00020020,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 75%,MSCI ACWI CR 25% + Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 75%,KRW,Y,000,글로벌,13.07,1.14,6.78,7.11,3724220496.0000,10,0.34,14.22,17.08,28.47,19.99,0,000000000000,0,배당,미래에셋글로벌배당과인컴자1호(채혼)CP,,미래에셋글로벌배당과인컴증권자투자신탁1호(채권혼합)C-P,미래에셋글로벌배당과인컴증권자투자신탁1호(채권혼합)C-P,KR510906175M,14123A120360224ZZZZE,KRZ501821787,484955,0,채권혼합,00080008,해외,개인,00,해당없음,공모,031910484950,판매중,KR5301AK4261,Y,00020027,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,33.39,0.71,8.82,13.44,46382913756.0000,10,4.66,24.19,26.83,36.32,26.24,0,0010175C4415,0,배당,우리중소형고배당30증권1호(채-혼)Ce,,우리중소형고배당30증권투자신탁1호(채권혼합)CLASS A-E,우리중소형고배당30증권투자신탁1호(채권혼합)Class A-e,KR5118430027,14111212001012213ZZ4,KRZ501339476,0009813,0,채권혼합,00040007,국내,해당없음,00,해당없음,공모,031010009813,판매중,K55107B11981,Y,00020081,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,410,국내,304.13,3.60,58.83,126.13,153804187435.0000,10,8.84,237.40,260.70,310.06,242.23,0,0011959C0035,0,배당,트러스톤인덱스알파증권자[주-파]Ci,,TRUSTON INDEX ALPHA EQUITY-DERIVATIVE FUND 1 CI CLASS,트러스톤인덱스알파증권자투자신탁[주식-파생형]Ci클래스,KR5172470008,12213912015017111122,KRZ500647091,0036331,0,06,00080043,국내,법인,00,해당없음,공모,029000036331,판매중,KR5363298328,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,20.06,0.57,8.87,10.27,176350678686.0000,10,1.37,19.41,25.70,38.99,29.81,0,000000000000,0,배당,미래에셋ETF로자산배분적격TDF2030(채혼재)CPe,,미래에셋ETF로자산배분적격TDF2030증권자투자신탁(채권혼합-재간접형)종류C-Pe,미래에셋ETF로자산배분적격TDF2030증권자투자신탁(채권혼합-재간접형)종류C-Pe,KR5153490450,00000000000000000000,KRZ501897678,0460090,0,재간접,00080008,국내외혼합,개인,00,해당없음,공모,031910460090,판매중,K55301BM5933,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
CALL,CALL,KRW,,000,국내,,,,,448064.0000,10,,,,,,0,0010197C0127,0,배당,맥쿼리스타신종법인MMF1호,,MACQUARIE STAR NEW CORPORATION MMF 1,맥쿼리스타신종법인MMF 1호,KR5036101011,1EE11Z12001013121ZZ6,KRZ500042270,11061,0,MMF,00080087,국내,법인,00,해당없음,공모,030450011061,판매완료,KR5222352381,Y,00050004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,N,000,글로벌,119.27,15.57,75.34,77.22,70907080746.0000,10,4.97,119.77,123.01,200.37,183.09,0,0010209C2087,0,배당,유경플레인바닐라글로벌배분자(주식)C,,유경 플레인바닐라 글로벌자산배분 증권자투자신탁(주식)C,유경 플레인바닐라 글로벌자산배분 증권자투자신탁(주식)C,KR5145450041,12133412001021111ZZ2,KRZ502384393,0070101,0,주식형,00080017,국내외혼합,해당없음,00,해당없음,공모,032670070101,판매중,K55305CY9480,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,410,국내,,-3.81,-3.72,-1.36,12268265183.0000,10,1.77,,,,,0,0011998C0354,0,배당,웰컴국공채Post-IPO[채권혼합]A-E,,웰컴국공채Post-IPO증권투자신탁[채권혼합] A-E,웰컴국공채Post-IPO증권투자신탁[채권혼합] A-E,KR511L430010,141116123250126ZZ264,KRZ502628392,0001750,0,채권혼합,00080208,국내,해당없음,00,해당없음,공모,034020001750,판매중,K55244EK8340,Y,00160036,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,231.79,1.92,47.01,96.84,892144859507.0000,10,8.74,175.28,192.43,217.71,189.44,0,0010214C0767,0,배당,마이다스책임투자증권투자신탁(주식)CF,,마이다스 책임투자 증권 투자신탁(주식) C-F,마이다스 책임투자 증권 투자신탁(주식) C-F,KR5157450008,12111711001011111112,KRZ500560328,0053004,0,주식형,00080005,국내,법인,00,해당없음,공모,031740053004,판매중,KR5303455228,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSDAQ150 x 150%,코스닥150 150%,KRW,N,000,국내,,,,,512502241.0000,10,,,,,,0,0010205C5023,0,배당,미래코스닥150레버리지1.5 1호(주-파재)Ae,,미래에셋코스닥150레버리지1.5증권투자신탁1호(주식-파생재간접형) 종류A-E,미래에셋코스닥150레버리지1.5증권투자신탁1호(주식-파생재간접형) 종류A-e,KR5153470002,16211612001015111261,KRZ502104196,0466530,0,06,00080008,국내,해당없음,00,해당없음,공모,031910466530,판매완료,K55301C10519,Y,00020004,,,,False,2026-07-11,PRFD01N001
채권종합지수 1~2Y,종합채권 1~2년,KRW,N,000,국내,56.44,1.63,13.91,36.60,952876521932.0000,10,-0.41,50.05,57.92,72.54,100.95,0,0011990C0158,0,배당,타임폴리오위드타임증권자(사모재간접)A,,타임폴리오위드타임증권자투자신탁(사모투자재간접형) 종류 A,타임폴리오위드타임증권자투자신탁(사모투자재간접형) 종류 A,KR511X490000,1611321208201ZZZZZZ1,KRZ502371041,0751001,0,재간접,00080248,국내,해당없음,00,해당없음,공모,035060751001,판매중,K553J1CW0340,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI Mid&SmallCap Index,중소형지수,KRW,,000,국내,305.53,7.40,62.34,121.29,292500355676.0000,10,10.00,206.11,227.39,226.86,226.42,0,0010186C4411,0,배당,신한패러다임코리아증투신[주]Cr,,신한패러다임코리아증권자투자신탁[주식](종류C-r),신한패러다임코리아증권자투자신탁[주식](종류C-r),KR5117450088,12113A12060011113263,KRZ50181712E,0250970,0,주식형,00040067,국내,해당없음,00,해당없음,공모,030480250970,판매중,K55210C54395,Y,00020004,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,210.41,1.97,53.50,114.58,106612919030.0000,10,8.24,152.39,179.62,,,0,0011990C0227,0,배당,타임폴리오마켓리더증권자(주식)Cw,,타임폴리오마켓리더증권자투자신탁(주식) 종류 C-W,타임폴리오마켓리더증권자투자신탁(주식) 종류 C-w,KR511X450009,12113B12001011111112,KRZ50244057A,0752001,0,주식형,00080248,국내,해당없음,00,해당없음,공모,035060752001,판매중,K553J1DC8023,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI RUSSIA,MSCI RUSSIA,KRW,Y,000,이머징/브릭스,85.42,1.98,29.52,40.62,9727314286.0000,10,-1.33,59.62,84.41,121.59,-36.78,0,000000000000,0,배당,미래에셋러시아업종대표자1호(주식)C5,,미래에셋러시아업종대표증권자투자신탁 1(주식)종류C5,미래에셋러시아업종대표증권자투자신탁 1(주식)종류C5,KR5153450097,00000000000000000000,KRZ50042589A,0532480,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910532480,판매중,KR5301984674,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
DWGRTT 90%,DWGRTT 90%,KRW,Y,000,글로벌,10.53,-0.78,4.41,9.82,38121776466.0000,10,0.26,13.83,17.82,21.91,-1.46,0,0010216C0285,0,배당,하나글로벌리츠부동산자(재간접)C5,,HANA GLOBAL REITS FEEDER INVESTMENT TRUST [FOFS] CLASS C5,하나글로벌리츠부동산자투자신탁[재간접형]C5,KR512509017M,171214120010244ZZ18C,KRZ500163649,65227,0,재간접,00040005,해외,해당없음,00,해당없음,공모,032100065211,판매중,KR5312996337,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
CALL,CALL,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,하이프로신MMF2-G2,,한화하이프로신종MMF 2호G2,한화하이프로신종MMF 2호G2,KR5029101414,00000000000000000000,KRZ500474140,009112,0,MMF,00040027,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5213824992,,00020004,,,,False,2026-07-11,PRFD01N001
채권종합 3M~1Y,종합채권 3개월~1년,KRW,,000,국내,,,,,32932997750.0000,20,,,,,,0,0010183C3407,0,배당,교보악사만기투자형6호[채권]C-R(퇴직연금),,KYOBO AXA MATURITY INVESTMENT SECURITIES INVESTMENT TRUST 6 [BOND] CLASS C-R(RETIREMENT),교보악사 만기투자형증권투자신탁 6호[채권] Class C-R(퇴직연금),KR5120420088,11111A328600131ZZZZ5,KRZ50259032A,0313830,0,채권형,00040001,국내,해당없음,00,해당없음,공모,030400313830,판매완료,K55207EB8270,Y,00020003,,,,False,2026-07-11,PRFD01N001
JACI 90%,JACI 90%,KRW,N,000,이머징/브릭스,-0.75,3.06,-0.89,-1.01,69016162393.0000,10,-0.19,1.92,5.29,15.99,23.98,0,0010205C2739,0,배당,미래에셋인도채권증권자투자신탁1(채)C,,미래에셋인도채권증권자투자신탁1호(채권)종류C,미래에셋인도채권증권자투자신탁1호(채권)종류C,KR5153420091,111234120011831ZZZZ4,KRZ501974923,0537010,0,채권형,00080008,해외,해당없음,00,해당없음,공모,031910537010,판매중,K55301AZ7455,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
HANG SENG CHINA(H) 200%,항셍H주 200%,KRW,Y,000,글로벌,9.26,-13.53,-10.25,-19.82,4784705987.0000,10,-4.13,-13.98,40.98,15.66,-66.59,0,000000000000,0,배당,미래에셋차이나H레버2.0자(주-파재)C4,,미래에셋차이나H레버리지2.0증권자투자신탁(주식-파생재간접형)C4,미래에셋차이나H레버리지2.0증권자투자신탁(주식-파생재간접형)C4,KR510909078M,1622341201517511126A,KRZ501754127,480957,0,06,00080008,해외,해당없음,00,해당없음,공모,031910480950,판매중,KR5225A88730,Y,00020027,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,33.39,1.01,17.80,19.03,324516378606.0000,10,1.97,31.78,41.95,63.12,53.61,0,0010198C2702,0,배당,KB온국민적격TDF2040증투신(주혼재)(H)Cpe,,KB 온국민 적격TDF 2040 증권자투자신탁(주식혼합-재간접형)(H)Cpe,KB 온국민 적격TDF 2040 증권자투자신탁(주식혼합-재간접형)(H)Cpe,KR5127490148,16131A120360211ZZZZC,KRZ502162797,0002X41,0,재간접,00040035,국내외혼합,개인,00,해당없음,공모,030230002X41,판매중,K55223BT1435,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
