cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,신한투자증권 주식회사,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,신한 블룸버그 인버스 2X WTI원유 선물 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG500000663,Q500066,1000000.0,20250508.0,20220427.0,STK,유가증권,,,신한투자증권 신한 블룸버그 인버스 2X WTI원유 선물 상장지수증권 제66호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋증권 주식회사,2.0,C,20260615.0,36910.0,37010.0,0.27,-4.27,3.25,-3.76,-10.27,-9.36,37010.0,0.0,36453.07,37010.0,1419.17,35033.9,2026-06-15 00:00:00,37010.0,1488592.75,4221084.0,1.0,40.55,116.0,,,미래에셋 2X 홍콩H 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520000685,Q520068,1000000.0,99991231.0,20231115.0,STK,유가증권,36453.07,35033900000.0,미래에셋증권 미래에셋 레버리지 홍콩H 선물 상장지수증권 제83호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,중국,20260615.0,1.0,True,ETN,False,CHINA,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성증권(주),1.0,C,20260615.0,12610.0,12665.0,0.44,4.32,36.11,11.73,9.8,12.38,12670.0,0.0,12623.92,12650.0,29.15,12594.77,2026-06-15 00:00:00,50655.0,106632.75,57768.0,4.0,8.6,4.6,,,삼성 미국다우존스 TR ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001277,Q530127,1000000.0,99991231.0,20241224.0,STK,유가증권,12623.92,12594770000.0,삼성증권 삼성 미국다우존스 TR 상장지수증권 제127호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,실물복제,20260615.0,22985.0,23265.0,1.22,1.51,24.61,8.54,8.36,9.51,23280.0,90100881000.0,23102.79,23030.0,-23102.79,23102.79,2026-06-15 00:00:00,549656831.0,1018692742.3,602536825.6,23686.0,44232.95,26205.6,,,KODEX TRF7030,0.0,3900000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7329670004,A329670,3900000.0,99991231.0,20190704.0,STK,유가증권,23102.79,90100878712.0,삼성 KODEX TRF7030증권상장지수투자신탁[주식혼합-재간접],위험자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,3900000.0,0.0,,,N,혼합자산,국내,20260615.0,4.0,True,ETF,False,KR,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.1,FnGuide TRF 7030 지수,혼합자산,False,0.1,external_krx_20260806,FnGuide TRF 7030 지수,external_krx_20260806
,,에셋플러스,1.0,액티브,20260615.0,18675.0,19320.0,3.45,6.24,32.06,17.77,9.09,11.58,19525.0,17498231600.0,18615.14,18235.0,-18615.14,18615.14,2026-06-15 00:00:00,20182255.0,57371274.95,14468714.2,1061.0,3025.05,768.2,,,에셋플러스 차이나일등기업포커스10액티브,0.0,940000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7474920006,A474920,940000.0,99991231.0,20240116.0,STK,유가증권,18615.14,17498230284.0,에셋플러스 에셋플러스 차이나일등기업 포커스10액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,940000.0,0.0,,,N,주식,중국,20260615.0,2.0,True,ETF,False,CHINA,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.99,"MSCI China Index(USD, Price Return)",주식,False,0.99,external_krx_20260806,"MSCI China Index(USD, Price Return)",external_krx_20260806
,,하나증권주식회사,-2.0,C,20260615.0,30305.0,30740.0,1.44,30.42,33.22,30.86,22.18,23.26,30740.0,0.0,30744.43,30645.0,371.39,30373.04,2026-06-15 00:00:00,92125.0,879866.25,2098457.0,3.0,31.55,71.4,,,하나 인버스 2X 옥수수 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG700000125,Q700012,1000000.0,99991231.0,20211216.0,STK,유가증권,30744.43,30373040000.0,하나증권 하나 인버스 2X 옥수수 선물 상장지수증권(H) 제12호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,액티브,20260615.0,19955.0,21200.0,6.24,10.16,188.24,48.3,83.63,85.4,21345.0,39037381500.0,20019.17,20690.0,-20019.17,20019.17,2026-06-15 00:00:00,938466247.0,964651523.2,674125524.6,44418.0,47104.3,33780.6,,,KODEX 자율주행액티브,0.0,1950000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7385520002,A385520,1950000.0,99991231.0,20210525.0,STK,유가증권,20019.17,39037379764.0,삼성 KODEX 자율주행액티브증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1950000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.5,FnGuide K-미래차 지수,주식,False,0.5,external_krx_20260806,FnGuide K-미래차 지수,external_krx_20260806
,,메리츠증권 주식회사,1.0,C,20260615.0,8265.0,8210.0,-0.67,-9.78,-1.97,-8.68,0.49,1.3,8210.0,0.0,8187.67,8170.0,-55.06,8242.73,2026-06-15 00:00:00,1348585.0,14440727.75,5871530.0,165.0,1628.5,709.2,,,메리츠 대표 농산물 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000348,Q610034,1000000.0,99991231.0,20211216.0,STK,유가증권,8187.67,8242730000.0,메리츠증권 메리츠 대표 농산물 선물 상장지수증권(H) 제34호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한국투자증권(주),,,,0.0,0.0,,,-100.0,,-100.0,-100.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,한투 인버스 2X 은 선물 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG570000627,Q570062,4000000.0,20260114.0,20210913.0,STK,유가증권,,,한국투자증권 한투 인버스 2X 은 선물 상장지수증권 제62호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,1.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한화,1.0,실물복제,20260615.0,8455.0,8490.0,0.41,8.99,-11.56,6.06,-17.29,-14.03,8550.0,5074932000.0,8458.22,8200.0,-8458.22,8458.22,2026-06-15 00:00:00,76674357.0,211704552.7,100767684.8,9059.0,23337.3,11685.2,,,PLUS 미국AI에이전트,5073000000.0,600000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70050E0007,A0050E0,600000.0,99991231.0,20250520.0,STK,유가증권,8458.22,5074933218.0,한화 PLUS 미국AI에이전트증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,600000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,Solactive US AI Agents Index(PR),주식,False,0.45,external_krx_20260806,Solactive US AI Agents Index(PR),external_krx_20260806
,,한국투자증권(주),2.0,C,20260615.0,54620.0,56545.0,3.52,1.55,51.55,25.11,18.04,16.01,56555.0,0.0,56481.1,56000.0,1938.09,54543.01,2026-06-15 00:00:00,1353515.0,100132071.0,193214586.0,24.0,1830.3,3613.4,,,한투 레버리지S&P500선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG572100227,Q570022,5000000.0,99991231.0,20171103.0,STK,유가증권,56481.1,272715050000.0,한국투자증권 한투 레버리지S&P500선물 상장지수증권(H) 제22호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,5000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,미래에셋,1.0,실물복제,20260615.0,20975.0,21810.0,3.98,-0.3,59.66,13.59,30.4,34.92,22085.0,16990232000.0,21237.79,21625.0,-21237.79,21237.79,2026-06-15 00:00:00,8388110.0,17072413.45,5058150.0,382.0,798.25,242.2,,,TIGER 200동일가중,16780000000.0,800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7252000005,A252000,800000.0,99991231.0,20160920.0,STK,유가증권,21237.79,16990234089.0,미래에셋 TIGER 200동일가중증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,800000.0,0.0,,,N,주식,아시아,20260615.0,2.0,True,ETF,True,ASIA_OTHER,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.21,코스피 200 동일가중지수,주식,True,0.0,provided,코스피 200 동일가중지수,external_krx_20260806
,,신한,1.0,합성복제,20260615.0,6025.0,6085.0,1.0,-6.74,75.87,-10.97,11.55,11.55,6085.0,7265352000.0,6054.46,5925.0,-6054.46,6054.46,2026-06-15 00:00:00,58253320.0,86897790.75,85769504.0,9735.0,13627.4,14379.4,,,SOL 차이나태양광CSI(합성),0.0,1200000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7413220005,A413220,1200000.0,99991231.0,20211222.0,STK,유가증권,6054.46,7265348478.0,신한 SOL 차이나태양광CSI증권상장지수투자신탁[주식혼합-파생형](합성),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,1200000.0,0.0,,,N,주식,중국,20260615.0,1.0,True,ETF,False,CHINA,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.5,CSI Photovoltaic Industry Index(PR),주식,False,0.5,external_krx_20260806,CSI Photovoltaic Industry Index(PR),external_krx_20260806
,,삼성증권(주),,,,0.0,0.0,,,-100.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,삼성 미국 대형 가치주 ETN(H),,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG532100168,Q530016,2000000.0,20251201.0,20151209.0,STK,유가증권,,,삼성증권 삼성 미국 대형 가치주 파생결합증권(상장지수증권)(H) 제16호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋,1.0,합성복제,20260615.0,59945.0,61535.0,2.65,19.52,291.57,71.77,138.28,123.2,61795.0,42685620000.0,56914.16,60065.0,-56914.16,56914.16,2026-06-15 00:00:00,45459980.0,63664768.45,42542160.6,747.0,1117.45,746.8,,,TIGER 한중반도체(합성),44958750000.0,750000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7449690007,A449690,750000.0,99991231.0,20221222.0,STK,유가증권,56914.16,42685621448.0,미래에셋 TIGER 한중반도체증권상장지수투자신탁(주식-파생형)(합성),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,750000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.35,KRX CSI 한·중 반도체지수,주식,False,0.35,external_krx_20260806,KRX CSI 한·중 반도체지수,external_krx_20260806
,0.4,삼성,1.0,실물복제,20260615.0,61400.0,61565.0,0.27,0.63,-1.79,0.01,-0.11,-0.34,61600.0,567720550960.0,61454.92,61530.0,-61454.92,61454.92,2026-06-15 00:00:00,2681003440.0,2713723579.15,2125286547.4,43544.0,44275.9,34644.0,,,KODEX 국고채3년,0.0,9238000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7114260003,A114260,9378000.0,99991231.0,20090729.0,STK,유가증권,61454.92,567720555296.0,삼성 KODEX 국고채권 증권상장지수투자신탁[채권],안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,9238000.0,0.0,,,Y,채권,국내,20260615.0,5.0,True,ETF,True,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.15,MKF 국고채지수(총수익),채권,True,0.4,provided,MKF 국고채지수(총수익),external_krx_20260806
,,미래에셋증권 주식회사,1.0,C,20260615.0,15870.0,15615.0,-1.61,3.44,26.59,-16.63,6.99,7.62,15710.0,0.0,15679.96,15615.0,-194.44,15874.4,2026-06-15 00:00:00,297815.0,2307692.55,3082475.0,19.0,149.7,198.2,,,미래에셋 미국 방위산업 TOP3 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520000743,Q520074,3000000.0,99991231.0,20240423.0,STK,유가증권,15679.96,47623200000.0,미래에셋증권 미래에셋 미국 방위산업 TOP3 상장지수증권 제89호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,3000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,삼성,1.0,실물복제,20260615.0,57755.0,60790.0,5.25,15.87,234.93,61.78,126.91,115.99,61675.0,97905550000.0,57591.5,60035.0,-57591.5,57591.5,2026-06-15 00:00:00,1876514738.0,2005494280.85,1958326231.2,31004.0,35288.8,34304.8,,,KODEX KRX300,0.0,1700000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7292190006,A292190,1700000.0,99991231.0,20180326.0,STK,유가증권,57591.5,97905556016.0,삼성 KODEX KRX300증권상장지수투자신탁[주식형],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1700000.0,0.0,,,Y,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.05,KRX 300,주식,True,0.0,provided,KRX 300,external_krx_20260806
,,키움증권(주),1.0,C,20260615.0,28005.0,30165.0,7.71,2.22,50.86,1.38,11.76,18.02,30165.0,0.0,30144.58,28860.0,2154.16,27990.42,2026-06-15 00:00:00,3189835.0,29630274.75,42036450.0,106.0,1089.35,1595.0,,,키움 조선TOP10 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000171,Q760017,700000.0,99991231.0,20241108.0,STK,유가증권,30144.58,19593294000.0,키움증권 키움 조선TOP10 상장지수증권 제16호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,700000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한국투자증권(주),-2.0,C,20260615.0,6640.0,6285.0,-5.35,-6.89,-54.67,-21.63,-36.06,-25.18,6375.0,0.0,6288.84,6250.0,-555.05,6843.89,2026-06-15 00:00:00,132070.0,4998801.5,364306.0,21.0,716.0,54.8,,,한투 인버스2X구리선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG570000734,Q570073,1000000.0,99991231.0,20211109.0,STK,유가증권,6288.84,6843890000.0,한국투자증권 한투 인버스2X구리선물 상장지수증권 제73호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,타임폴리오,1.0,액티브,20260615.0,36305.0,38000.0,4.67,16.21,239.89,69.34,147.96,137.95,38500.0,282573642000.0,36227.39,36800.0,-36227.39,36227.39,2026-06-15 00:00:00,8324510578.0,10306578046.65,7009833546.4,218415.0,288363.35,194987.0,,,TIME 코리아밸류업액티브,283179000000.0,7800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7495060006,A495060,7700000.0,99991231.0,20241104.0,STK,유가증권,36227.39,278950871577.0,타임폴리오 TIME 코리아밸류업액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,7700000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.8,코리아 밸류업 지수,주식,False,0.8,external_krx_20260806,코리아 밸류업 지수,external_krx_20260806
,0.0,한국투자,1.0,실물복제,20260615.0,129665.0,136855.0,5.55,16.74,250.78,65.83,136.14,123.36,138450.0,1941703483000.0,130315.67,136125.0,-130315.67,130315.67,2026-06-15 00:00:00,43407656098.0,54205510241.1,56862338374.2,316033.0,427581.5,441795.6,,,ACE 200,0.0,14900000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7105190003,A105190,14900000.0,99991231.0,20080925.0,STK,유가증권,130315.67,1941703487623.0,한국투자 ACE 200 증권 상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,14900000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.017,코스피 200,주식,True,0.0,provided,코스피 200,external_krx_20260806
,,KB증권(주),2.0,C,20260615.0,47020.0,51725.0,10.01,-21.95,103.24,-34.55,-25.31,-44.14,52500.0,0.0,51741.46,51335.0,8577.34,43164.12,2026-06-15 00:00:00,84515610.0,341711008.95,198011951.0,1631.0,5895.65,4340.8,,,KB S&P 레버리지 은 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000260,Q580026,500000.0,99991231.0,20210913.0,STK,유가증권,51741.46,21582060000.0,KB증권 KB S&P 레버리지 은 선물 상장지수증권(H) 제26호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,500000.0,0.0,,,N,원자재,미국,20260615.0,1.0,True,ETN,False,US,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한화,1.0,실물복제,20260615.0,11015.0,11100.0,0.77,-4.06,13.15,-0.85,-4.52,-4.1,11135.0,9804600000.0,10894.0,11000.0,-10894.0,10894.0,2026-06-15 00:00:00,130226223.0,230265689.85,298527307.8,11797.0,20387.7,27076.6,,,PLUS 차이나AI테크TOP10,9913500000.0,900000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70047N0002,A0047N0,750000.0,99991231.0,20250513.0,STK,유가증권,10894.0,8170498106.0,한화 PLUS 차이나AI테크TOP10증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,800000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.49,Solactive China AI Tech Top10 Index(PR),주식,False,0.49,external_krx_20260806,Solactive China AI Tech Top10 Index(PR),external_krx_20260806
,,에셋플러스,1.0,액티브,20260615.0,19175.0,19355.0,0.94,3.48,11.33,6.26,-3.75,-0.23,19385.0,11890422000.0,19178.1,19215.0,-19178.1,19178.1,2026-06-15 00:00:00,173765.0,1914415.5,285795.0,9.0,102.65,15.0,,,에셋플러스 글로벌영에이지액티브,0.0,620000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7451150007,A451150,620000.0,99991231.0,20230131.0,STK,유가증권,19178.1,11890419824.0,에셋플러스 에셋플러스 글로벌영에이지액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,620000.0,0.0,,,N,주식,글로벌,20260615.0,2.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.99,S&P 500,주식,False,0.99,external_krx_20260806,S&P 500,external_krx_20260806
,,KB,1.0,실물복제,20260615.0,17935.0,18250.0,1.76,-3.21,47.12,-7.76,16.5,19.13,18625.0,422022927200.0,18143.72,18025.0,-18143.72,18143.72,2026-06-15 00:00:00,6620960870.0,13303410596.55,10687961836.4,362202.0,726634.5,622428.4,,,RISE 코스닥150,417168100000.0,23260000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7270810005,A270810,23260000.0,99991231.0,20170616.0,STK,유가증권,18143.72,422023042237.0,KB RISE 코스닥150증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,23260000.0,0.0,,,Y,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.02,코스닥 150,주식,False,0.02,external_krx_20260806,코스닥 150,external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,9660.0,9815.0,1.6,-4.75,10.53,1.39,4.53,6.57,9905.0,4864305000.0,9728.61,9745.0,-9728.61,9728.61,2026-06-15 00:00:00,1799300.0,4646585.25,15967790.0,183.0,493.7,1713.2,,,KODEX 퀄리티Plus,0.0,500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7244660007,A244660,500000.0,99991231.0,20160513.0,STK,유가증권,9728.61,4864302637.0,삼성 KODEX 퀄리티PLUS증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_13,다소높은위험(3등급),1,2.0,,N,500000.0,0.0,,,N,주식,국내,20260615.0,3.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.3,FnGuide 퀄리티 Plus 지수,주식,False,0.3,external_krx_20260806,FnGuide 퀄리티 Plus 지수,external_krx_20260806
MSCI NORTH AMERICA,,NH-Amundi,,,,0.0,0.0,,,-100.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,HANARO 미국메타버스iSelect,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7419170006,A419170,250000.0,20250624.0,20220222.0,STK,유가증권,,,NH-Amundi HANARO 미국메타버스iSelect 증권상장지수투자신탁(주식),N,N,PD_RISK_GCD_12,높은위험(2등급),0,,,,,1.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,MSCI NORTH AMERICA,provided
,,삼성,1.0,실물복제,20260615.0,41455.0,43215.0,4.25,15.07,210.56,58.67,116.51,108.62,43655.0,24750582000.0,41250.97,42805.0,-41250.97,41250.97,2026-06-15 00:00:00,3283860.0,49414129.3,40529409.0,76.0,1210.25,965.0,,,KODEX 멀티팩터,0.0,600000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7337120000,A337120,600000.0,99991231.0,20191114.0,STK,유가증권,41250.97,24750581598.0,삼성 KODEX 멀티팩터증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,600000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.3,FnGuide 멀티팩터 지수,주식,False,0.3,external_krx_20260806,FnGuide 멀티팩터 지수,external_krx_20260806
,,하나,1.0,액티브,20260615.0,9500.0,9890.0,4.11,-11.14,,,,,9985.0,59124062500.0,9459.85,9845.0,-9459.85,9459.85,2026-06-15 00:00:00,2498661695.0,3822271252.15,2576752929.8,252163.0,363782.75,271963.0,,,1Q 은액티브,59375000000.0,6250000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70172V0009,A0172V0,6250000.0,99991231.0,20260331.0,STK,유가증권,9459.85,59124086406.0,하나 1Q 은액티브특별자산상장지수투자신탁[은-재간접형],위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,6250000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETF,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,0.3,Bloomberg Blended Silver Spot USD index,원자재,False,0.3,external_krx_20260806,Bloomberg Blended Silver Spot USD index,external_krx_20260806
,,신한,1.0,실물복제,20260615.0,111580.0,111600.0,0.02,0.19,0.93,0.62,1.2,1.05,111605.0,25775107050.0,111580.55,111595.0,-111580.55,111580.55,2026-06-15 00:00:00,3459505.0,7388779.25,803453.0,31.0,66.3,7.2,,,SOL KIS단기통안채,0.0,231000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7363510009,A363510,230000.0,99991231.0,20200909.0,STK,유가증권,111580.55,25775106037.0,신한 SOL KIS단기통안채증권상장지수투자신탁[채권],안전자산,Y,PD_RISK_GCD_16,매우낮은위험(6등급),1,2.0,,N,231000.0,0.0,,,N,채권,국내,20260615.0,6.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.07,KIS 단기통안채 Index(총수익),채권,False,0.07,external_krx_20260806,KIS 단기통안채 Index(총수익),external_krx_20260806
