itm_no,prfd_attr_cd
KR5181490020,V102
KR5127490126,N177
KR5114420057,C103
KR513509053M,C103
KR5153451146,D102
KR5127490396,C102
KR5110420013,M109
KR5116450067,M109
KR5145440017,D102
KR5127470096,D106
KR510909219M,M112
KR5122440010,C103
KR5127450482,F103
KR5147450013,D102
KR511704009M,D106
KR5127440027,C101
KR5153490133,M109
KR5113470031,G110
KR517602028M,C103
KR5148000009,N109
KR5153450412,M111
KR510909241M,V102
KR5153470246,C103
KR5127490355,M111
KR5127490213,C101
KR5127450007,D106
KR5127450340,V102
KR5114470061,M111
KR5147430019,C103
KR5127470094,V102
KR510506046M,N122
KR5110420158,M111
KR511M490005,W101
KR5564601001,V101
KR5153460018,W101
KR513702011M,D102
KR5114490009,M111
KR5157450042,C101
KR5114430129,F103
KR5124450032,C101
KR5114450296,W101
KR511409011M,N122
KR5153470050,W101
KR5172490059,W101
KR5153480002,C103
KR5182490060,M112
KR512306011M,D102
KR5117450018,D102
KR5114490095,D102
KR5116450063,V101
KR5122490007,W101
KR5149450040,C101
KR513304025M,M109
KR510906175M,C103
KR5113431001,M109
KR5153450237,D102
KR5127490155,D102
KR5127490148,D106
KR5148490033,M120
KR510909139M,D102
KR510402002M,M109
KR5153451124,S104
KR5129450203,D106
KR5153450348,M109
KR511102079M,CHN
KR5153490443,T235
KR5116450067,D102
KR5120450078,M111
KR510909241M,G110
KR5125450132,V101
KR5153490028,M111
KR5138450044,W102
KR5120530046,V101
KR510902655M,W107
KR510906204M,C103
KR5187450091,M111
KR517602039M,D102
KR5117430080,C103
KR5153451160,C103
KR5123420015,M109
KR5113490238,G110
KR5134490028,O117
KR5127490318,F103
KR5134450005,M109
KR5123490095,C101
KR5146450002,C101
KR5153420116,D106
KR5153490530,M109
KR5153400032,W101
KR518102085M,W112
KR5114450421,V102
KR5557450012,D102
KR5131601004,P102
KR5120490032,T225
KR5127450044,D102
KR510902891M,D106
KR510902012M,W107
KR5153450721,M111
KR5181490156,C103
KR5137470010,C103
KR5110490076,C103
KR510704003M,D102
KR5139430110,V101
KR511502004M,C101
KR518105011M,F103
KR5120530027,M111
KR5113450204,N101
KR5023101415,C103
KR5123490030,W101
KR5153651028,V102
KR510902854M,F103
KR5120420064,C103
KR5153480024,C103
KR5153420297,V102
KR5127651003,D102
KR5127420038,P121
KR5118490008,M111
KR5170651003,M111
KR510904063M,V101
KR5117490014,C103
KR5149450051,D102
KR5153450850,F103
KR5120450055,M109
KR5157480001,M109
KR5127490076,M111
KR5114420095,D106
KR5152430051,C103
KR5137450077,M111
KR5153440050,C103
KR5125450056,M111
KR5127490321,M111
KR5117474000,M109
KR5147490012,D103
KR5122420013,V101
KR5153450585,M109
KR5114420075,M111
KR5138490011,M109
KR5116470030,M109
KR512002036M,M109
KR518107001M,C103
KR510904166M,D102
KR5157450085,M111
KR5151450056,VNM
KR5110420112,N130
KR5123490112,C101
KR5127450331,N135
KR5144450093,D102
KR5127450260,V102
KR512102037M,C101
KR510902520M,C101
KR5147430012,C101
KR5153420216,C103
KR5010251123,C101
KR5187450140,W101
KR5153470002,C103
KR5127450381,V102
KR515302032M,N156
KR512Q450237,F103
KR511509004M,D106
KR5114450534,M111
KR5156450023,M109
KR5127450195,M109
KR5113450081,N130
KR5160430009,D106
KR5123490025,C101
KR512009026M,USA
KR5181490181,C101
KR5129490045,V102
KR5114450587,G101
KR5110420020,M111
KR5138490011,C101
KR5114490407,N178
KR513511009M,D102
KR5127450376,C103
KR5131450153,W101
KR5153430119,F103
KR513509038M,M109
KR5137470041,M109
KR5113430100,C103
KR5125440020,C102
KR5123651007,C101
KR5153400027,V103
KR5117490043,D102
KR5111450040,C103
KR5153450781,M111
KR5187450119,W101
KR5153470121,M109
KR5137470111,M104
KR5010410003,D102
KR5132430050,M111
KR5137450061,N123
KR5153450022,G118
KR5153450361,D102
KR5139430012,C103
KR5174450021,M111
KR5123490075,M111
KR5123450040,M111
KR512001004M,M109
KR5129450023,M111
KR510909009M,C101
KR5036101013,V101
KR5153400065,M111
KR5161450006,D102
KR5010201012,V101
KR5114450655,D102
KR5111450053,V101
KR5182490100,M111
KR5117430314,W101
KR5114490117,M101
KR513502101M,D106
KR5114530021,G115
KR5114490120,W114
KR513502064M,D102
KR5159651009,G118
KR5127450068,C101
KR5153440031,G117
KR510902506M,C101
KR512502002M,C103
KR5157450111,F103
KR5181490008,M112
KR5153450043,D102
KR5114450304,C101
KR5174450047,M109
KR5114601171,V102
KR5153400077,D106
KR5127420128,V101
KR5134450030,V102
KR5117490301,D106
KR514X450008,N135
KR5127450347,D106
KR517509015M,C103
KR5118450186,D106
KR5134490089,F103
KR511806011M,C103
KR5124450068,C103
KR5114490056,M112
KR5114490196,D102
KR5114950014,D102
KR5129490053,M111
KR5113456005,W101
KR5114800006,W111
KR5120920063,M111
KR5129450165,M111
KR5153450043,C103
KR5114470032,D102
KR5119151003,C101
KR5142420010,V102
KR517609076M,V102
KR515009052M,M104
KR5114450347,M109
KR510902488M,C101
KR510902652M,C103
KR5114450650,M109
KR5117450112,F103
KR5187540022,C103
KR5153490525,D102
KR5117490192,F103
KR515009050M,F102
KR515009070M,M112
KR5110420159,C103
KR5131490018,R105
KR5182490095,W101
KR510902061M,C103
KR5111450022,C103
KR5116450061,D102
KR510909101M,M112
KR5181490087,C101
KR5125601016,W108
KR5113459006,M109
KR5182490050,W118
KR511L430020,M111
KR510902764M,M104
KR511106019M,Q111
KR518105036M,G115
KR5181490113,W101
KR5134651002,V102
KR5114450189,C101
KR5113456017,D102
KR5127490020,M112
KR5151430059,M109
KR5114450450,M111
KR5151451000,C101
KR5153450267,M111
KR5117490144,N177
KR5120420063,C102
KR5125601018,M111
KR5170420038,W102
KR5114450402,D102
KR5153450853,F103
KR5114450597,V102
KR5113450264,D102
KR5170490009,W101
KR5117490115,M111
KR5133601018,C103
KR5114440064,V102
KR5144490052,C103
KR5113490137,D106
KR5114450211,D102
KR5181490158,G115
KR5157450149,C101
KR5147430053,C102
KR5114470010,C103
KR5114470160,D102
KR5114450539,F103
KR5114490109,C101
KR5144420016,G110
KR5144450097,M111
KR5131450157,W101
KR5153490104,D102
KR5117471004,F103
KR5116430001,M101
KR5133400020,C101
KR511102090M,M111
KR5187440001,F103
KR5120420078,C103
KR5153450802,F101
KR5137450075,F101
KR5187450100,M109
KR5144450062,M111
KR5117490187,V102
KR5153400024,M106
KR510506032M,C101
KR5153450331,D102
KR5153430330,M111
KR5153651014,AUS
KR5153450927,M111
KR5120490085,T250
KR5180490003,G110
KR5127450193,C101
KR5160420004,V101
KR5157450020,M111
KR5153470001,S117
KR513109008M,M111
KR5120530040,C101
KR5144490032,V103
KR5182490099,D106
KR5127450073,V101
KR5113490096,D102
KR5156490062,F103
KR510904067M,C103
KR5123490058,C103
KR5148420130,M120
KR5133601065,D102
KR5142530010,F103
KR5172450102,W108
KR5127490212,N143
KR5122410001,V101
KR5114490285,F103
KR5153550021,N138
KR5133420040,V101
KR5153450954,F103
KR5189450016,C103
KR5117430201,M109
KR5113490158,W101
KR5120470044,D102
KR5157450085,S108
KR510902926M,C101
KR5114490229,M111
KR511504005M,C101
KR5114430009,G115
KR5153490618,D102
KR5114490049,V102
KR513706039M,S102
KR5153450888,G110
KR5133400026,C103
KR5178430007,D102
KR5110470010,N114
KR5136450014,C101
KR5117490043,M106
KR5114450249,F103
KR5117490105,F103
KR5119450043,C103
KR5153420092,IND
KR5125450101,M111
KR5137450050,C101
KR510902708M,M111
KR510903120M,D102
KR5127450221,M104
KR5127420136,C103
KR5156450056,M109
KR5153430120,V102
KR5022410010,V101
KR5027410028,C103
KR5117490127,C101
KR5159490009,M111
KR5134450024,W116
KR5120490073,C101
KR5113490019,G115
KR5149490077,G110
KR5153450008,W120
KR5116502001,F103
KR518102006M,W123
KR5123490028,D102
KR5153490131,C103
KR5120420085,G110
KR5114420134,V102
KR5147430056,C103
KR5010201101,C103
KR5153450639,M111
KR517609083M,C101
KR5153520022,C101
KR5120450050,M109
KR5114450503,F101
KR5114450443,G118
KR5147430070,M111
KR5127450384,W101
KR518101026M,M111
KR517602053M,V102
KR5159651004,N155
KR5157430038,N178
KR5138430013,C101
KR5114450316,C101
KR513503014M,M111
KR512009023M,W104
KR5139470011,C101
KR5114430052,V101
KR5181490093,M111
KR5127490156,F103
KR5134440035,M112
KR5153490304,V103
KR5127490158,S102
KR5189450011,C101
KR5133600024,D102
KR510902646M,N138
KR5152430138,F103
KR5153420262,F103
KR512Q450007,D106
KR5153450300,M111
KR5160420008,D102
KR5114470101,C101
KR5172490005,N178
KR5131490060,M111
KR5127450022,G118
KR5122420016,V101
KR5153420022,M106
KR511804011M,V101
KR5187550031,F103
KR5172550078,C103
KR510902707M,V102
KR5017410002,D102
KR5125430011,C101
KR5114450171,M111
KR5153450303,F101
KR5145430032,V101
KR5133651004,V102
KR5125450111,M109
KR5153430354,G110
KR5119450056,G118
KR5153490028,S121
KR5129420015,M109
KR510502102M,G110
KR5119450008,M109
KR5117450024,C101
KR517609082M,C101
KR5113440040,CHN
KR510601063M,D102
KR5127430041,C103
KR5129490038,D102
KR5113430066,C103
KR5149490001,M112
KR5114450114,C103
KR5120450044,P104
KR5153490594,W109
KR511103002M,C103
KR510902667M,F104
KR5153451153,F103
KR5153460006,M112
KR5123490060,C101
KR510902758M,M109
KR5153440021,C103
KR510902948M,G118
KR5153451148,V102
KR518104055M,M109
KR5139430127,M111
KR513502101M,M109
KR5114450238,V101
KR5151450020,M111
KR5113490068,F103
KR5153450230,D102
KR5153470254,D102
KR5127450202,F101
KR5114450560,M109
KR5153400051,V103
KR5153450658,C103
KR513509003M,C101
KR5170420031,M112
KR5153430376,G115
KR5114490157,W102
KR5123490138,D102
KR5153451139,D106
KR5127440033,W101
KR5147490045,M112
KR510902888M,C101
KR5113490059,N177
KR510902507M,C101
KR5153470129,C101
KR512602039M,S118
KR5111450066,M111
KR5117490411,N177
KR5110420149,C103
KR5143490024,V102
KR5153420318,G110
KR5129450183,V102
KR5117430310,V103
KR5018410020,C103
KR5557450017,C103
KR5114450096,M109
KR5153450587,D102
KR5010201113,C103
KR513706032M,C104
KR5181450000,V102
KR5119470000,CHN
KR5123490144,G115
KR5153450205,M109
KR5153450103,N138
KR5148450016,M111
KR5181490103,V102
KR517609028M,M112
KR5142490051,C101
KR5181450044,C103
KR5144492200,V102
KR5153450412,F103
KR5120490033,D106
KR514104004M,D102
KR518102042M,D102
KR5153420221,V102
KR5023101414,M111
KR5153470239,M109
KR518103012M,M111
KR5178430002,M111
KR5124450011,V101
KR5148490200,M105
KR5016410010,D102
KR513502024M,S104
KR5148450033,G118
KR5114450059,M111
KR5153430051,C103
KR510902325M,D102
KR510902063M,M111
KR5114420097,C101
KR5181490171,C101
KR5114800009,N154
KR5123490021,D102
KR511L430022,C101
KR5127470088,S104
KR5110651014,O101
KR5153490546,M112
KR5153470259,G115
KR5152502019,M111
KR5127470084,W112
KR510906222M,W101
KR513506051M,C104
KR511106027M,M111
KR5139430125,M111
KR5153490723,D102
KR5172450128,M109
KR5129490109,N154
KR5129450142,C103
KR5114601027,V101
KR510902539M,W102
KR5182490022,W104
KR5152440011,D102
KR5153601064,C103
KR5127470089,V102
KR5114490482,D102
KR5129490011,V102
KR5131430017,V101
KR5153430099,G115
KR5153450641,W121
KR5134490032,M112
KR5153450801,M111
KR518102049M,G115
KR5117430049,D102
KR5157450043,C101
KR5170651008,C103
KR5153400033,N177
KR510909067M,W101
KR5110420101,W101
KR5153651020,C101
KR5127490118,W101
KR512009008M,W104
KR518102023M,C103
KR5147430077,N142
KR5181490148,M112
KR5114450296,M111
KR5113430016,D106
KR5180450011,C101
KR5113490237,D106
KR5123490050,M111
KR515009094M,M111
KR5125430041,M101
KR5138490301,S102
KR5153420100,C103
KR5117474000,W104
KR5120430091,V101
KR5114490167,C101
KR5134400009,W104
KR518105001M,M109
KR510902625M,M109
KR5148490035,V102
KR517609073M,D102
KR5114450607,M109
KR510909204M,M109
KR511013546M,C103
KR5113450502,S104
KR510909248M,S108
KR510902934M,M109
KR5194450012,M111
KR510909003M,V103
KR5156490026,W115
KR5144490091,G110
KR5170450019,C101
KR5114420125,M109
KR5144450073,P104
KR5118430041,C101
KR5113450283,W101
KR513506009M,D102
KR5153470238,C101
KR5114450022,D102
KR5114490036,N177
KR5114450506,C103
KR5153490650,C103
KR510902575M,D102
KR5148490170,M111
KR5113490146,V102
KR5133400006,M109
KR511002014M,D102
KR5113450052,V101
KR5172450127,D102
KR5153470115,D102
KR5174430013,D102
KR5153480077,M111
KR5122440011,M111
KR5114490161,C103
KR517509068M,C103
KR5117651018,W120
KR5153470072,C103
KR5148490131,C101
KR5153450060,M109
KR515203009M,W101
KR5152430094,D102
KR515009078M,M109
KR5014410061,C103
KR5139430035,M111
KR511803004M,M109
KR515009113M,C101
KR5123450012,F101
KR5114470085,S108
KR510902919M,IND
KR5127490319,D102
KR5146450008,D102
KR5127430001,P102
KR5114490099,N177
KR511103005M,D102
KR513304025M,C103
KR5153470010,M111
KR5114490347,M109
KR5131430013,F103
KR510902909M,C101
KR5114490155,M112
KR5123450124,W101
KR512602038M,D102
KR510909055M,M111
KR513502170M,D102
KR513502041M,C103
KR510906145M,C103
KR513511008M,D102
KR5114490195,M120
KR5117450111,M111
KR5129490054,G110
KR510902769M,D106
KR5125430037,N178
KR5147490047,W101
KR5194450010,C101
KR5020410001,C101
KR5118450066,G110
KR5185432000,D102
KR516702030M,N147
KR5180450024,M109
KR5151430045,D102
KR5170490001,M112
KR5113490187,D106
KR5127490248,W101
KR5114420021,C101
KR5129450110,M109
KR5127450027,V102
KR510902184M,N116
KR510902167M,C103
KR5180490004,S121
KR5124440010,C103
KR5118430043,G110
KR5148490149,M109
KR5153450632,D102
KR5114470108,G110
KR5120490096,W101
KR518105025M,V102
KR510502102M,V102
KR5181490135,W102
KR5138490000,M111
KR5172440015,M109
KR5147430075,D103
KR518104002M,G115
KR5114490377,C103
KR5153450132,M111
KR5153430061,C103
KR5125450016,C103
KR510909217M,C103
KR5171490001,C102
KR510502094M,N122
KR512009023M,D106
KR5157450140,M109
KR5127450043,C101
KR5152450027,C103
KR5117430090,C103
KR518104039M,G115
KR5129450079,N122
KR5127470020,C103
KR513806004M,C103
KR5148490227,W104
KR5147430020,C101
KR5151470017,W101
KR5125450137,C103
KR5144490085,D102
KR513502092M,S104
KR517302077M,D102
KR5181490147,V102
KR5123490040,D102
KR510902284M,M111
KR5156450024,M109
KR5144492023,C101
KR5010201012,C101
KR510902561M,D102
KR5172440014,V101
KR5139430015,M111
KR5187450080,C101
KR5142490090,D102
KR5114420066,M111
KR5120530030,M111
KR5133400023,D106
KR510902573M,M109
KR5131450093,F103
KR5144490077,V102
KR5147450082,D106
KR5113450312,C101
KR513509060M,W101
KR5153450948,D102
KR5114490338,D106
KR5153450667,M109
KR515203001M,C103
KR5125450081,D102
KR5127490413,V101
KR5147430011,M111
KR5131490009,D102
KR510401021M,M105
KR5181450032,W101
KR511009014M,N109
KR5153450954,F101
KR5114450241,W112
KR511111103M,V101
KR5117490440,D106
KR5117490074,C103
KR5153490500,M112
KR5110490078,M111
KR5113450298,C103
KR5153450054,D102
KR5156450031,V101
KR5123651002,M111
KR5113651016,D102
KR5153450536,V101
KR5133450038,N122
KR5153480074,V102
KR5142420029,G110
KR5152651011,M112
KR5182490010,M111
KR512002042M,M111
KR5133601016,C103
KR5114470027,M111
KR518102023M,C101
KR5113458005,C101
KR510902076M,V102
KR5153651002,D102
KR5131440023,C102
KR5114490229,D106
KR5148490140,D102
KR5120490073,N177
KR5110490065,C101
KR5178450025,G110
KR5129450182,N167
KR5151450056,V102
KR5144650000,D102
KR5127450379,C101
KR5123420019,M109
KR511X450005,V101
KR5113490199,C101
KR5127490213,D102
KR5114499991,D102
KR5120470010,V101
KR5127490156,N177
KR513G450009,F103
KR5176450025,C103
KR5127450380,C103
KR5151450030,V101
KR510909105M,C101
KR5147450089,W122
KR5153450920,C103
KR5110651013,D105
KR518103014M,V102
KR5142440016,M109
KR5148490101,G110
KR5138490020,M109
KR5119450161,F106
KR5113420011,V101
KR510902038M,D102
KR510902435M,V101
KR5110450085,CHN
KR5114490135,D102
KR5153450921,M109
KR5153490655,N177
KR5127470095,C101
KR5114450133,M109
KR5182490053,D102
KR5127450341,C101
KR510902660M,D102
KR5144490008,M111
KR5148490012,W122
KR512306008M,S104
KR5144492081,D106
KR5114420057,V101
KR5114450416,D102
KR5127470024,M109
KR510909079M,C101
KR5114470085,D102
KR510906194M,C103
KR5014410030,D102
KR5120920066,D102
KR5172490012,S121
KR5111450078,M111
KR5120450059,N108
KR512002008M,W139
KR514X450003,M111
KR5149651002,O132
KR5114470022,M109
KR5110420103,C101
KR518101012M,V101
KR5153651015,V102
KR5148420140,R107
KR515009091M,C103
KR5156450020,P101
KR5182490071,D102
KR511102054M,C101
KR5153650999,M113
KR510502052M,M111
KR5117430028,C103
KR5116450039,C103
KR5113651015,D102
KR5148490149,C103
KR5127490245,G115
KR5114440010,M111
KR5149490069,D102
KR5127450378,C103
KR518104039M,P102
KR5127550021,D102
KR5123490094,N177
KR5529400010,Q111
KR5127450214,D102
KR5113450232,D102
KR5153420206,M109
KR513506008M,S104
KR5117490301,C103
KR5175450039,G115
KR5157480021,C101
KR5181490103,M111
KR5174450020,M111
KR513509020M,C101
KR5153490141,M111
KR5119430020,C103
KR5144490027,V103
KR5114470070,M107
KR5152430095,R105
KR5114499999,W101
KR5114499993,C101
KR5117490457,V103
KR5110651012,W101
KR5132450010,D102
KR5157480003,V102
KR5114420158,C103
KR5187450071,M111
KR5127450350,M111
KR5119430031,C101
KR5172450034,C103
KR510904050M,M109
KR5153450332,G118
KR5174430010,D102
KR5170420051,USA
KR5110420155,C103
KR5152430104,W124
KR5153450257,C103
KR5139430012,V101
KR510906221M,N122
KR5153450843,D102
KR5151430031,M109
KR5113459014,D106
KR5113490139,M109
KR5153490718,W101
KR5133651009,M111
KR5113430030,C102
KR5110601004,C103
KR5114490168,M112
KR5117430315,D102
KR510904005M,M104
KR5151450045,M111
KR510909200M,F103
KR5153450173,G118
KR5113420007,M111
KR5114450501,C103
KR5127450371,D102
KR5170450029,D102
KR511111104M,C103
KR5118430014,C101
KR5142430010,CHN
KR5120470031,C101
KR5556440008,M111
KR5148490051,M104
KR510902684M,D102
KR5148490035,C103
KR5114499999,V103
KR5114450342,V102
KR5120470010,E102
KR5153450819,F103
KR5114450294,M112
KR5178490005,D102
KR5010201314,D102
KR5147430073,W104
KR5127450026,N122
KR5153480028,V103
KR5114450559,N142
KR5153490088,S108
KR5157480032,C101
KR5144492200,D102
KR5123490136,V102
KR5152430098,G115
KR5124471004,M109
KR5110450120,D102
KR5151430043,C103
KR5114490082,D102
KR5151450044,S104
KR5114450333,V102
KR5153450853,C103
KR5117490063,G110
KR517502029M,V103
KR5117430038,C101
KR5127430048,C103
KR518105044M,V103
KR517302069M,F103
KR513509058M,D102
KR5110450143,V102
KR517309003M,W101
KR5127490203,N130
KR5131450167,F101
KR5153530041,W101
KR5157450089,C103
KR5114450281,C103
KR5148800019,CHN
KR513502108M,M111
KR5576450018,V101
KR5127490118,C101
KR5144490053,M111
KR511131107M,D102
KR5131420005,M109
KR5153451114,S104
KR5153490567,C103
KR5127490341,D102
KR5134420026,M109
KR5119450146,S108
KR5127440091,D106
KR5117473001,M111
KR5114450356,G118
KR5113450060,D102
KR5124440011,S109
KR5110450133,V101
KR5153430251,D102
KR5144430014,V101
KR5170490060,M112
KR5148651018,M111
KR5114450664,D102
KR5127490341,M111
KR5153470068,M109
KR5120352037,D106
KR5114550029,M109
KR5142490067,D102
KR511102025M,M109
KR5153420266,M111
KR5153420010,C103
KR5119450056,C103
KR5127450331,M111
KR5010251307,C103
KR517309004M,D106
KR5117420097,F103
KR5127490410,D102
KR5114450232,D102
KR5139450023,M111
KR5117490181,C101
KR510509009M,C101
KR5110450101,C103
KR5032410001,C103
KR5127470070,V103
KR5144490044,C101
KR5142420018,M105
KR5153490069,W101
KR5117490422,D102
KR5127450195,F101
KR510902683M,CHN
KR5138490121,D102
KR512809021M,C101
KR510909003M,D102
KR515002051M,G115
KR5114450389,M111
KR5153450800,D102
KR5125450010,M109
KR5127550029,P101
KR5129450145,G115
KR5119450040,D102
KR5131450181,C103
KR5153450632,P101
KR5123490084,W101
KR5153490400,W101
KR510904067M,M109
KR510902796M,G101
KR5114450331,C103
KR5114450322,D102
KR5113450266,D106
KR5153490673,F103
KR510902330M,D102
KR518105051M,W107
KR5529400018,USA
KR5117490121,D102
KR5133550037,D102
KR512002036M,N114
KR510902183M,D102
KR5117490042,W101
KR5114492003,V103
KR5113450195,VNM
KR5153450587,F103
KR5153440036,D106
KR515402021M,M111
KR5157450087,F103
KR5144420018,M109
KR5153420319,M111
KR5129450190,N152
KR5156450013,G115
KR5147450043,M111
KR5129490058,T230
KR5172450066,G117
KR5170420030,M120
KR5127420036,M109
KR5114450082,M109
KR513509065M,BRA
KR5181490181,D102
KR5114490034,M112
KR5117420069,F103
KR510906155M,M109
KR5114470137,D106
KR511L470003,G119
KR5129490070,V102
KR5125450132,D102
KR5117490121,N177
KR5133450001,C101
KR5113761016,D106
KR518101011M,F103
KR5185450011,M109
KR5180450023,V101
KR5176450011,M111
KR5153430240,M111
KR5172450011,D102
KR5127490116,D102
KR5113420080,V101
KR510909232M,V102
KR5131490011,M111
KR5123450114,M111
KR5127470073,V103
KR510901104M,C103
KR5110420078,C101
KR5152420052,V101
KR5138450045,C103
KR5120420057,C101
KR510909108M,C101
KR5133651008,M109
KR5153490303,M109
KR5174550021,M109
KR5117450112,C103
KR510902170M,V102
KR5113450512,V102
KR5137470041,N114
KR5153450917,M111
KR5113470001,M109
KR5144470050,S117
KR5113490228,V102
KR5113459008,M111
KR5187540022,G115
KR5153430081,C103
KR5127450462,F103
KR5153490533,D106
KR511802005M,C101
KR5010101405,D102
KR5170490090,D102
KR5156450028,C103
KR5137450040,C101
KR5133601062,C103
KR518104048M,D102
KR5127450116,M109
KR5113450186,P102
KR5114450503,D102
KR5116450060,C101
KR5153450569,CHN
KR5114490183,M111
KR515009091M,M112
KR5148420118,V102
KR5153450295,M109
KR5147430055,D103
KR510902503M,M111
KR5114420095,D102
KR5127470077,D102
KR5114490449,M111
KR5181010160,V101
KR5114420067,D106
KR5153450640,C101
KR5152430127,F103
KR5153490308,M112
KR5144450097,C103
KR5153470063,M111
KR5133470011,W101
KR5153490709,G115
KR5127450008,D102
KR5123651016,C101
KR5133450044,V102
KR5134490076,C101
KR5148490015,C103
KR5139450031,M111
KR5113456001,N153
KR511302004M,M111
KR5129490117,C103
KR510902626M,D102
KR5181490136,D106
KR5143490022,C101
KR5139450038,P101
KR5174550020,F103
KR5114420137,M111
KR513501002M,C103
KR5123450068,D106
KR5127490228,D102
KR5125490018,D106
KR5114490193,M111
KR5187450102,V102
KR510902034M,M111
KR5152450010,D102
KR5114490339,C103
KR5152450037,C101
KR5024410001,C101
KR5149450015,N114
KR5144490302,M111
KR5123490063,W101
KR5117490091,M111
KR5148420111,M112
KR515203006M,M109
KR5153420302,G110
KR5110651030,C103
KR5153430358,M111
KR513502018M,G118
KR5147450040,C101
KR510902252M,W102
KR5110601004,M107
KR5114450564,D102
KR5110490052,V103
KR5127450417,D102
KR5123490065,M111
KR5153430092,C103
KR510902672M,M111
KR510902773M,M111
KR5114450130,C101
KR5123490012,V101
KR510909048M,M112
KR555202014M,P101
KR513102117M,G118
KR515009116M,C103
KR5114490096,C103
KR512009021M,D106
KR5133601005,C101
KR5120420033,D102
KR510902572M,C103
KR5123490014,D106
KR5113450065,C103
KR5118450060,M111
KR5113490088,C101
KR5151430053,M109
KR513102132M,G118
KR5010410121,E102
KR5116420035,C101
KR5144492003,M111
KR5153490650,D102
KR518103010M,C101
KR5148470040,N125
KR510902064M,D102
KR5131430021,V101
KR510909171M,C103
KR5153490544,M112
KR5157480016,N138
KR5142490131,C103
KR5144420081,G115
KR511X450008,M111
KR5116430071,C102
KR5114450299,C101
KR5127450349,M111
KR5139430061,C101
KR5131450013,M111
KR5153450631,C101
KR510904028M,M111
KR5147430037,M111
KR5127490072,C101
KR5153450373,D102
KR5153450039,G118
KR510903047M,D106
KR5117490174,F103
KR5170490003,C103
KR5159651019,N155
KR5181490041,D102
KR5134400031,C103
KR5139430122,C103
KR5144470031,C103
KR5114450363,W111
KR5114430115,C103
KR5153480040,D102
KR510909231M,M111
KR5110651015,O131
KR5153450589,M111
KR5170651005,D102
KR5157450124,W108
KR518104011M,M111
KR5114490408,W101
KR5125450111,D106
KR5153450908,C101
KR5153420075,M111
KR5133420017,C101
KR5182490099,M111
KR5113456003,N153
KR5110800003,JPN
KR5181490008,N161
KR5010201123,C103
KR5139490030,D102
KR5114470040,M112
KR5127450346,M109
KR5119490010,M112
KR510902648M,M111
KR5143800002,V102
KR5110651025,V102
KR510902142M,V103
KR5127450070,V101
KR5114470146,D102
KR513011005M,D106
KR5148490036,M112
KR5144470031,S104
KR513502177M,C103
KR5153420162,W102
KR5127450389,M111
KR5110450105,M105
KR5142440011,C101
KR5120490055,C103
KR511105003M,G110
KR5113456001,D102
KR512902029M,G118
KR5118450203,M111
KR5114450612,M111
KR5123490146,D106
KR512902030M,V101
KR510904030M,C103
KR5120450017,C101
KR5113490023,M106
KR5153490483,M112
KR514802017M,D106
KR5117473001,C103
KR510902503M,M109
KR511171101M,C103
KR510902527M,D102
KR5110601010,V101
KR518104036M,V101
KR5114490020,M111
KR5129490064,F103
KR5027101404,C101
KR5153420265,M111
KR5110490005,V103
KR5122450020,V101
KR5153420210,N125
KR5114450118,C101
KR513504011M,C101
KR518102088M,V102
KR5153450294,C103
KR5148490111,C101
KR5125601002,C103
KR517502021M,M112
KR5153470001,C101
KR5118430041,M109
KR5174450044,C101
KR5110490071,M109
KR5157450072,D102
KR5120491000,C103
KR5181450031,G118
KR5127450076,M111
KR513702054M,C103
KR5153480086,M106
KR5153490423,D102
KR5134450028,D106
KR5153450087,D106
KR518102073M,V102
KR517509020M,M112
KR511013554M,F104
KR5114450551,N142
KR5179450016,N102
KR513502099M,M109
KR5161450007,V102
KR5182490016,W101
KR5114800007,V102
KR5119470011,M109
KR5149490039,F103
KR5114420122,V102
KR5116601015,D102
KR5114450368,D106
KR5113400012,W101
KR5113490021,C101
KR5144490024,G115
KR5153430040,W101
KR5153420093,C103
KR5113470041,D106
KR5151470011,W101
KR5148490227,M111
KR510902167M,M111
KR5135450026,D102
KR5142490137,F103
KR518105011M,M112
KR5129450192,M109
KR5564601001,R105
KR5185450042,C103
KR5117490014,G110
KR5116470024,W101
KR513702015M,BRA
KR5117450034,D102
KR5181450051,M112
KR5194450033,V102
KR5114470146,V101
KR5138490126,M109
KR5153450570,C103
KR5127490107,M106
KR5178450028,C103
KR5110520016,G110
KR5134450040,C101
KR5125450132,C103
KR5129450136,N130
KR5153450556,C103
KR5114800005,C101
KR5127450361,N132
KR5110420108,C101
KR5110450102,D102
KR5142420023,C103
KR5153480040,M111
KR5152450027,F103
KR5148651029,G118
KR5123490073,N177
KR510902525M,V102
KR510909213M,N107
KR5110651002,V102
KR510904145M,M109
KR5153470076,C103
KR510102029M,C101
KR5144490002,S121
KR510902254M,W102
KR511009018M,M111
KR5117490213,R107
KR518103012M,C103
KR5536430011,V101
KR5127450409,M111
KR5114420124,W104
KR5114420115,C103
KR5114490161,M111
KR5114490418,G115
KR5148000016,C103
KR510102009M,C103
KR511104010M,C103
KR513506195M,C101
KR5181490218,M111
KR517302071M,D102
KR5127471001,W114
KR5127450376,M111
KR5113490257,D106
KR5123601023,S104
KR5114490155,C103
KR5153490645,M111
KR510902610M,JPN
KR5178490005,T230
